Gene,XGBoostGain
PF3D7_1372000,19.229348655
PF3D7_1038700,11.8905323982
PF3D7_1347200,12.9930725
PF3D7_0407500,6.14901924
PF3D7_0103300,0.886878014
PF3D7_0713200,11.216507
PF3D7_1104500,6.465682985000001
PF3D7_0211300,2.70606065
PF3D7_1439300,27.3201656
PF3D7_1465000,11.50820877
PF3D7_0805000,13.24492737877778
PF3D7_0419300,6.044807178
PF3D7_0305400,5.0777877479999995
PF3D7_0620100,9.628248905
PF3D7_1373100,5.825570409999999
PF3D7_0831400,10.459421803333333
PF3D7_0607400,11.3113117
PF3D7_0511700,8.73966217
PF3D7_0518700,6.46263504
PF3D7_0100800,2.29864264
PF3D7_1006500,6.32246017
PF3D7_0100600,0.5
PF3D7_0523000,8.531101434928575
PF3D7_0804800,10.5591431
PF3D7_0908700,9.76672363
PF3D7_0621900,9.82237244
PF3D7_1138100,3.0265003765
PF3D7_0914200,7.379998872124999
PF3D7_1021300,9.08111477
PF3D7_0401900,6.35492897
PF3D7_1120500,28.4881916
PF3D7_0218600,16.390623628
PF3D7_1348500,4.218852968
PF3D7_0206700,12.6427078
PF3D7_0603500,6.43132067
PF3D7_1022200,11.4416294
PF3D7_1233800,12.9967394
PF3D7_1411600,2.3924638025
PF3D7_1011400,3.964482318733333
PF3D7_1228000,4.588984785
PF3D7_1472400,4.26386499
PF3D7_0626300,2.10181046
PF3D7_0318100,4.61858463
PF3D7_0101600,0.10975709535
PF3D7_0314800,13.3060608
PF3D7_1138200,5.11804056
PF3D7_1247300,9.76448059
PF3D7_1472700,8.13464355
PF3D7_0529300,3.4429120115
PF3D7_0529000,14.2034702
PF3D7_0813000,7.57879972
PF3D7_0413600,2.12849641
PF3D7_0629500,3.94841576
PF3D7_1224700,24.6158123
PF3D7_0719700,13.8308887
PF3D7_1417600,9.53506851
PF3D7_0411100,4.47312069
PF3D7_1121500,10.6155844
PF3D7_0516600,2.6421265025
PF3D7_1133700,9.26795387
PF3D7_0729200,12.7780113
PF3D7_1313100,7.34695053
PF3D7_0318200,4.897483230000001
PF3D7_1245300,21.4149958
PF3D7_1455100,5.783430616333334
PF3D7_1372100,5.35572338
PF3D7_1140600,2.99541092
PF3D7_0833200,3.488403915
PF3D7_0924900,0.918834209
PF3D7_1004000,4.84687614
PF3D7_1010700,6.8846308903999995
PF3D7_1208000,7.98258972
PF3D7_0523200,2.9884607185
PF3D7_0513400,9.356580985
PF3D7_0710600,10.8159199
PF3D7_1428400,5.194483916666667
PF3D7_1442800,12.77911281
PF3D7_0802400,5.170282308
PF3D7_0408600,9.492041
PF3D7_0519300,8.89217949
PF3D7_1027900,6.35854197
PF3D7_1238700,4.65219688
PF3D7_0114200,0.468737125
PF3D7_1110600,3.08524323
PF3D7_1107700,7.9009215707500005
PF3D7_0711700,6.114058967499999
PF3D7_0415500,6.1923097385
PF3D7_0730100,4.652761549499999
PF3D7_1221100,3.65552449
PF3D7_0602400,4.48837519
PF3D7_1015000,9.19496155
PF3D7_0410400,6.74762726
PF3D7_1319800,4.98314667
PF3D7_1325600,3.6000195028
PF3D7_0608500,5.08152294
PF3D7_0215700,3.7097590766666664
PF3D7_0502400,20.3763008
PF3D7_1025900,3.57096481
PF3D7_1458700,6.41926908
PF3D7_0818000,10.4604015
PF3D7_0219100,5.44889832
PF3D7_1326100,1.2362320935
PF3D7_1329000,6.10746447
PF3D7_1406000,2.4601940365000003
PF3D7_0911800,6.22225666
PF3D7_1105900,5.12410927
PF3D7_0721300,6.89690399
PF3D7_1140000,3.73527527
PF3D7_0520500,5.73709547
PF3D7_0519000,6.00059032
PF3D7_0716500,2.9956193
PF3D7_1469900,7.31072235
PF3D7_0104200,2.31934166
PF3D7_0514400,6.22415161
PF3D7_1428200,3.68629522825
PF3D7_0825000,9.99293613
PF3D7_0727900,6.71942234
PF3D7_0305800,7.72328091
PF3D7_0608300,13.2904234
PF3D7_0211700,5.425772670000001
PF3D7_0403900,5.20340776
PF3D7_1249200,8.62317276
PF3D7_1221700,5.38214493
PF3D7_1119400,5.59790325
PF3D7_1202000,0.863286257
PF3D7_0628700,8.41712952
PF3D7_1413100,5.31636429
PF3D7_0112800,2.71056938
